2016,2017,2018
0.0022072973661124706,0.0039520589634776115,0.0017148398328572512
0.224574990065636,0.2974339281012108,0.22028827830343636
0.35583656961853444,0.43647395393869903,0.3510494264396462
0.45437894526634137,0.5318172340994483,0.4520535947503271
0.5314053099076669,0.6000106564751855,0.5255506182576085
0.5886777178034769,0.6496700335730303,0.5843460149056203
0.6348119389008474,0.6878234454819391,0.6308778186102171
0.672259970279308,0.7191137588835574,0.66889880911724
0.7033873381557407,0.7434417101713989,0.7001645999985773
0.7299213431708448,0.7653466525378528,0.7263962171367697
0.7532030231243855,0.7839021108171961,0.7497926824264698
0.7734714076057211,0.8000011751780639,0.7703694935586001
0.7914362766005256,0.8144970623580543,0.7884847038501018
0.8078297685902637,0.8278146297634543,0.8052476153180407
0.8225097978974248,0.8403518594242073,0.8206522543688078
0.8369947766309028,0.8525229391750988,0.8354011520340636
0.8511654448461485,0.8647929126674587,0.8490857907243677
0.8651017684567799,0.8766393445096575,0.8633413556459788
0.8800356730147525,0.889514172990043,0.8786855942494161
0.8978597239241587,0.9050651397373345,0.8970866996425767
0.9664661288261414,0.959745466709137,0.9611426591873169
