2016,2017,2018
0.0017020287923514843,0.001570209744386375,0.002807290991768241
0.19920293450564358,0.1925892279626013,0.18095287528929413
0.3197325915098191,0.3144894483927135,0.2907783866734118
0.4177599542402291,0.4122021168067649,0.3834774550956649
0.49397440169069984,0.49119755061897075,0.4626523020568196
0.5569594617451992,0.5548710722375562,0.5276232671898764
0.606713060466377,0.6058438120661556,0.5796336124072204
0.6475157014660172,0.6479063232739768,0.6244097170797555
0.6832187301761754,0.6829322921263205,0.6608452990248398
0.7130040763734697,0.7123375748460357,0.6918789753237286
0.7372050035047578,0.7380031441246067,0.717994164239179
0.7590191559748607,0.7598248255413932,0.7411925116906295
0.7784718951305469,0.7792373670114053,0.762318975861008
0.7955422912393366,0.7969905505040744,0.7817651715633032
0.8116418270556418,0.8129049283427161,0.8000786012894399
0.8270633129833697,0.8282846993691213,0.8168313632140288
0.8418307852100682,0.8430989450162596,0.8332561520842818
0.8565459665056464,0.8581569536312207,0.8497938106188903
0.8724898655135352,0.8739265272746215,0.8672240784039368
0.891140036366962,0.8925115475783476,0.8874784339924117
0.9584125876426697,0.9579759240150452,0.9570640325546265
